feature,mean_abs_shap,selected,index_in_selected,config_name,model_name,original_f1,original_auc
Phenol,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Hydroxyphenylacetic acids,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Xanthine,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
N-Acetyl-ornithine ,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
D-Threitol,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Alanines/Sarcosine,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Serine,0,TRUE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
L-Kynurenine,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
N-Acetyl-L-phenylalanine,0,TRUE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Indolelactic acid,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Dimethyluric acid,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Methylhippuric acid ,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
D-(-)-Quinic acid,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Citric acid/Isocitric acid,0,TRUE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Kynurenic acid,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
10-hydroxydecanoic acid/3-hydroxydecanoic acid,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
N6-Acetyl-L-lysine,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
4-Pyridoxic acid ,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Tyrosine,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
DL-3-Aminoisobutyric acid,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Hexoses,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
N-Formyl-L-methionine,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
L-Citrulline,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Arginine,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Aconitic acid,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Methylhistidines,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Uric acid,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
(S)-(-)-Perillic acid,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Phenylalanine,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Methionine sulfoxide,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Phenylpyruvic acid,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
5-Hydroxylysine,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Indoxyl sulfate,0,TRUE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
N-Acetyl-L-tyrosine,0,TRUE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Isoleucine,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
D-Glyceric acid ,0,TRUE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Creatine,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
N-Acetyl-L-alanine,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
4-Methyl-2-oxovaleric acid/3-Methyl-2-oxovaleric acid/2-Ketohexanoic acid,0,TRUE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Mesaconic acid/Glutaconic acid/Itaconic acid ,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
DL-Pyroglutamic acid,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Succinic semialdehyde/2-Oxobutyric acid,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Benzoic acid/4-Hydroxybenzaldehyde,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Threonines,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
3-Hydroxypentanoic acid,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Pyruvic acid,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Succinic acid/Methylmalonic acid,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
N-Acetylglycine ,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Caproic acid ,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
2-Oxovaleric acid,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Trisaccharides,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
"1α,25-Dihydroxyvitamin D3",0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
2-Heptanone,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
(-)-N-Acetylneuraminic acid,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
N-Acetyl-Asp-Glu,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Hexadecanedioic acid,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Inosine,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Phenylacetyl-L-glutamine,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
N-Acetyl-DL-tryptophan,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
β-Pseudouridine,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
L-Cystine,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
"N6,N6,N6-Trimethyl-L-lysine",0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
