feature,mean_abs_shap,selected,index_in_selected,config_name,model_name,original_f1,original_auc,project,task_name
msp_0388,0.05742458254098892,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0188,0.0548197403550148,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0003,0.054052092134952545,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0215,0.05288155376911163,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0654,0.052836254239082336,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0236,0.052534546703100204,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0030,0.052249521017074585,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0022,0.04859433323144913,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0041,0.048095181584358215,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0239,0.047665730118751526,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0884,0.04536803439259529,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0374,0.04414378106594086,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0134,0.04407278820872307,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0048,0.04231363907456398,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0224,0.04184636473655701,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0008,0.03807997331023216,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0389,0.03684926778078079,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0059,0.03647463768720627,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0346,0.036192141473293304,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0016,0.03258651867508888,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
