model,scaling,feature_selection,balancing,min_across_tasks,max_across_tasks,mean_across_tasks,std_across_tasks,range,n_tasks
LightGBM,none,mutual_info,none,0.8561212121212123,0.999616858237548,0.9349983449042228,0.055295980548837935,0.1434956461163357,6
XGBoost,log,none,undersample,0.8559826839826841,0.9934065934065934,0.9314250542597597,0.05578093719207095,0.13742390942390936,6
LightGBM,robust,none,smote,0.8559826839826841,1.0,0.9341836592293752,0.05538038239473713,0.14401731601731593,6
LightGBM,none,mutual_info,smote,0.8559653679653678,0.999616858237548,0.9357769984047434,0.05401750669847697,0.14365149027218016,6
LightGBM,standard,f_classif,none,0.8559200603318251,0.9996179529282978,0.9387705532097453,0.05752723193720527,0.1436978925964727,6
XGBoost,standard,none,smote,0.8558787878787877,1.0,0.9459443671560038,0.05142570635764097,0.14412121212121232,6
XGBoost,robust,none,smote,0.8555670995670995,0.999808429118774,0.9422095876762735,0.05396673269167072,0.14424132955167446,6
LightGBM,none,f_classif,none,0.8553766233766235,0.999808429118774,0.9403302706307161,0.056624412975070246,0.14443180574215053,6
LightGBM,robust,mutual_info,undersample,0.855184766214178,0.992107892107892,0.9384352651051345,0.05096171742353096,0.13692312589371392,6
LightGBM,standard,random_forest,undersample,0.8549773755656108,0.9896103896103896,0.9363264828210237,0.04962135214456645,0.1346330140447788,6
LightGBM,robust,none,none,0.8545281385281387,0.9990432402846195,0.9355289674554932,0.05158083377019196,0.14451510175648086,6
XGBoost,none,variance,smote,0.8543376623376624,0.9996179529282978,0.9442300495957122,0.05195757445335039,0.1452802905906354,6
LightGBM,log,f_classif,undersample,0.854128959276018,0.9935064935064934,0.9381894993971676,0.050397546345758645,0.1393775342304755,6
XGBoost,standard,mutual_info,undersample,0.8537835497835499,0.992207792207792,0.9416948835654453,0.05088149136447769,0.13842424242424212,6
RandomForest,standard,differential,undersample,0.8534372294372294,1.0,0.9411272027205531,0.06083520123268906,0.14656277056277056,6
RandomForest,robust,differential,undersample,0.8534372294372294,1.0,0.9411272027205531,0.06083520123268906,0.14656277056277056,6
RandomForest,none,differential,undersample,0.8534372294372294,1.0,0.9411272027205531,0.06083520123268906,0.14656277056277056,6
XGBoost,none,differential,smote,0.8532640692640692,1.0,0.9405474587929831,0.05715119086536521,0.14673593073593083,6
RandomForest,standard,differential,none,0.8532467532467534,1.0,0.9440315467425443,0.059285048755540304,0.14675324675324664,6
RandomForest,robust,differential,none,0.8532467532467534,1.0,0.9440315467425443,0.059285048755540304,0.14675324675324664,6
RandomForest,none,differential,none,0.8532467532467534,1.0,0.9440315467425443,0.059285048755540304,0.14675324675324664,6
RandomForest,log,differential,none,0.8532467532467534,1.0,0.9436197100001449,0.05971615293572257,0.14675324675324664,6
XGBoost,log,differential,smote,0.8524848484848484,0.999809523809524,0.9397856666635439,0.05801351849807417,0.14732467532467564,6
XGBoost,robust,none,undersample,0.8523463203463203,0.9934065934065934,0.934004380127129,0.0584154977078897,0.14106027306027313,6
XGBoost,standard,none,undersample,0.8523463203463203,0.9934065934065934,0.934004380127129,0.0584154977078897,0.14106027306027313,6
XGBoost,none,none,undersample,0.8523463203463203,0.9934065934065934,0.934004380127129,0.0584154977078897,0.14106027306027313,6
RandomForest,log,differential,undersample,0.8521385281385282,1.0,0.9414421778136611,0.06067240833902805,0.1478614718614718,6
