feature,mean_abs_shap,selected,index_in_selected,config_name,model_name,original_f1,original_auc,project,task_name
msp_0999,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0082c,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0587,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_1406,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_1162,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0895,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0575,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0906,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_1496,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_1225,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0073,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_1196,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_1423,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0062,0.0,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_1906,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_1152,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0579,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_1412,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0875,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0386,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_1305,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_1924,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0367,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0362,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_1158,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_1790,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0573,0.0,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0493,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_1652,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0536,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0004,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0146c,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_1201,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_1632,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0511,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_1108,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_1007,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0078,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_1975,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_1340,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0588,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0055,0.0,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0702,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_1268,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_1547c,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0381,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_1893,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_1400,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_1332,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0752,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0734,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0970,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_1132,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0343,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_1589,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0961,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0114,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_1239,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_1404,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_1769,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0188,0.0,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0861,0.0,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0406,0.0,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0950c,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_1936,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_1702,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_1383c,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_1527,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0947,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_1488,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0256,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0990,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0647,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0624,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_1601,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0933,0.0,False,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
